2.21268,5.85071
3,9
7.9029,9.98058
8,10
12.4721,12.2361
16.9443,14.4721
18,15
21.5355,18.5355
25.0711,22.0711
27,24
29.5725,28.2875
30,29
33.5355,32.5355
36,35
37.2127,39.8507
38,43
40,45
44.4721,47.2361
46,48
49.7629,51.2925
53.5258,54.585
54,55
55.857,59.6424
56,60
59,64
62,67
63.3736,71.8076
64,74
68.1603,76.7735
72.3205,79.547
73,80
76.7629,83.2925
80.5258,86.585
81,87
82.0847,91.8809
83,96
87.7891,97.4367
92.5783,98.8735
93,99
96.1235,102.904
99.247,106.809
101,109
104.841,112.201
107,114
111,116
114,120
117.123,123.904
118,125
120,127
122.031,131.569
124,136
128.24,133.35
132,131
133.756,126.318
135,123
138.123,119.096
141.247,115.191
143,113
147,111
150.716,107.655
154.433,104.31
157,102
160.796,98.746
164,96
165,93
168.947,89.9303
172.894,86.8606
174,86
175,83
177.428,78.6292
179.856,74.2584
180,74
183.796,70.746
187,68
187.498,63.0248
187.995,58.0496
188,58
189,57
193.808,55.6264
196,55
198.031,50.4309
200,46
204.642,44.143
209.285,42.2861
210,42
213.536,38.4645
215,37
219.95,36.2929
222,36
225.536,32.4645
229,29
230.085,24.1191
231,20
233.236,15.5279
235.472,11.0557
236,10
240.341,7.51931
243,6
246.322,2.26295
249.644,-1.47409
251,-3
255.743,-4.58114
260,-6
264.903,-6.98058
269.806,-7.96116
270,-8
272.774,-12.1603
274,-14
277.716,-17.3448
281.433,-20.6896
284,-23
288.903,-23.9806
289,-24
292.763,-27.2925
296.526,-30.585
297,-31
299.481,-35.3412
301,-38
302.581,-42.7434
303,-44
307.287,-46.5725
308,-47
308.498,-51.9752
308.995,-56.9504
309,-57
313.472,-59.2361
317,-61
321.682,-62.7556
325,-64
329.95,-64.7071
332,-65
333.374,-69.8076
334,-72
337,-76
340,-80
343.841,-83.2009
346,-85
348,-88
349,-89
350.857,-93.6424
351,-94
355.95,-94.7071
358,-95
362.851,-96.2127
366,-97
369.536,-100.536
373.071,-104.071
374,-105
377.536,-108.536
381.071,-112.071
382,-113
385.536,-116.536
386,-117
388.572,-121.287
391.145,-125.575
392,-127
395.716,-130.345
399.433,-133.69
402,-136
403.085,-140.881
404,-145
405.97,-140.404
407,-138
411.95,-137.293
414,-137
416.031,-132.431
418,-128
419,-126
421.236,-121.528
422,-120
422.498,-115.025
422.995,-110.05
423,-110
425.65,-105.76
428,-102
432.569,-99.9693
437,-98
441.743,-96.4189
443,-96
446,-95
447.374,-90.1924
448,-88
452.903,-87.0194
